Symbol,National Common Name,Family,Author
434,2,18,38
435,336,18,4
435,2,18,38
436,337,3,153
436,2,3,281
437,338,8,126
437,2,8,293
437,2,8,293
438,339,8,14
439,337,3,94
439,2,3,60
439,2,3,344
439,2,3,345
439,2,3,281
439,2,3,210
440,340,8,14
441,340,8,57
441,2,8,346
441,2,8,210
442,340,8,57
442,2,8,14
442,2,8,102
443,340,8,347
443,2,8,6
443,2,8,14
443,2,8,6
443,2,8,57
443,2,8,94
443,2,8,94
443,2,8,25
443,2,8,25
443,2,8,94
443,2,8,6
443,2,8,303
443,2,8,295
443,2,8,112
444,340,8,57
444,2,8,25
444,2,8,242
444,2,8,6
444,2,8,25
445,341,34,82
446,342,34,348
446,2,34,349
446,2,34,349
446,2,34,350
446,2,34,85
446,2,34,85
446,2,34,74
446,2,34,351
446,2,34,351
446,2,34,351
446,2,34,82
446,2,34,64
446,2,34,194
447,343,33,337
448,343,33,352
448,2,33,353
449,344,34,82
450,345,8,327
450,2,8,326
451,346,8,303
451,2,8,79
452,347,8,8
452,2,8,293
453,348,18,354
454,349,8,36
455,350,8,4
455,2,8,355
455,2,8,102
455,2,8,0
455,2,8,295
455,2,8,38
456,351,29,36
457,352,18,42
457,2,18,38
458,353,8,25
459,354,8,25
459,2,8,38
460,355,8,25
461,356,18,312
461,2,18,38
462,357,31,42
462,2,31,196
462,2,31,356
462,2,31,357
462,2,31,358
463,353,8,359
463,2,8,293
464,358,18,42
465,359,18,23
465,2,18,42
465,2,18,5
465,2,18,42
465,2,18,42
465,2,18,42
465,2,18,38
466,360,8,14
466,2,8,304
467,358,18,360
467,2,18,5
467,2,18,86
467,2,18,38
468,361,18,312
468,2,18,312
468,2,18,42
468,2,18,67
469,362,32,164
469,2,32,10
469,2,32,361
469,2,32,362
470,363,18,23
471,364,3,14
472,365,3,55
472,2,3,363
473,366,3,55
473,2,3,363
473,2,3,71
473,2,3,364
473,2,3,40
474,367,3,365
474,2,3,366
474,2,3,55
474,2,3,273
474,2,3,55
474,2,3,55
475,363,18,5
475,2,18,42
475,2,18,38
475,2,18,67
476,364,3,367
476,2,3,364
476,2,3,368
477,368,3,365
477,2,3,369
477,2,3,130
478,369,8,25
478,2,8,38
479,370,29,36
480,370,29,370
480,2,29,7
481,371,3,53
482,372,18,354
482,2,18,28
482,2,18,371
482,2,18,36
482,2,18,372
482,2,18,127
482,2,18,71
483,373,8,42
483,2,8,79
484,374,8,25
485,375,18,6
485,2,18,38
486,376,13,36
486,2,13,373
486,2,13,348
486,2,13,374
486,2,13,375
487,377,32,42
488,377,32,376
489,378,8,36
490,379,8,9
491,380,8,14
492,381,8,6
493,380,8,377
493,2,8,121
493,2,8,67
494,382,8,378
494,2,8,6
494,2,8,25
494,2,8,38
495,381,8,379
495,2,8,295
495,2,8,14
495,2,8,38
496,383,8,286
496,2,8,0
496,2,8,18
496,2,8,6
496,2,8,38
496,2,8,38
497,384,8,380
497,2,8,302
497,2,8,38
498,385,31,242
498,2,31,381
498,2,31,90
498,2,31,381
498,2,31,382
498,2,31,308
498,2,31,382
498,2,31,156
498,2,31,156
498,2,31,308
498,2,31,308
498,2,31,85
498,2,31,67
498,2,31,358
498,2,31,28
499,386,30,318
500,386,30,383
500,2,30,287
500,2,30,102
501,387,35,36
501,2,35,4
502,388,21,195
502,2,21,18
502,2,21,58
502,2,21,14
502,2,21,8
503,389,8,36
504,390,21,36
505,390,21,384
505,2,21,85
505,2,21,85
505,2,21,74
505,2,21,6
506,391,8,102
506,2,8,385
506,2,8,194
506,2,8,386
507,392,21,5
507,2,21,23
507,2,21,94
